iterations,fitness,time,fevals
0,556.0,12.546882486,1000
10,597.0,23.027049519,2100
20,616.0,33.18338197,3200
30,664.0,42.82394481,4300
40,678.0,52.123518358,5400
50,696.0,61.099305489,6500
60,726.0,69.817309364,7600
70,736.0,78.324615903,8700
80,748.0,86.489817422,9800
90,758.0,94.698911919,10900
100,764.0,102.636215661,12000
110,766.0,110.373254825,13100
120,762.0,119.049200593,14200
130,764.0,128.777107498,15300
140,772.0,138.28564011,16400
150,766.0,147.580480253,17500
160,774.0,155.727069758,18600
170,768.0,163.968009542,19700
180,772.0,171.892050767,20800
190,772.0,179.889012935,21900
200,776.0,187.634467254,23000
210,774.0,196.126621643,24100
220,778.0,204.124722918,25200
230,784.0,212.027209323,26300
240,774.0,219.822008901,27400
250,776.0,227.497288102,28500
260,782.0,235.378373408,29600
270,770.0,243.329053016,30700
280,780.0,251.663981374,31800
290,782.0,260.045800319,32900
300,778.0,268.890192635,34000
310,776.0,277.815874589,35100
320,776.0,285.781430385,36200
330,778.0,294.147228611,37300
340,780.0,302.454862602,38400
350,780.0,311.054001505,39500
360,782.0,318.694516222,40600
370,776.0,326.585212934,41700
380,782.0,334.247998155,42800
390,786.0,341.966333106,43900
400,788.0,349.420374658,45000
410,780.0,356.993995571,46100
420,780.0,364.856394641,47200
430,782.0,372.416897586,48300
440,780.0,380.177155571,49400
450,780.0,387.912145887,50500
460,780.0,395.622813542,51600
470,784.0,403.25467407,52700
480,780.0,411.058744333,53800
490,780.0,418.968909958,54900
500,784.0,426.726872529,56000
510,778.0,434.563067043,57100
520,784.0,442.149788492,58200
530,786.0,449.858546507,59300
540,784.0,457.524205003,60400
550,790.0,464.993343199,61500
560,782.0,472.788311177,62600
570,780.0,480.485042443,63700
580,786.0,488.104381434,64800
590,788.0,495.733290099,65900
600,786.0,503.655799732,67000
610,786.0,511.293324631,68100
620,784.0,519.028465408,69200
630,784.0,526.77275819,70300
640,780.0,534.680102258,71400
650,790.0,542.385333613,72500
660,776.0,550.240287839,73600
670,790.0,557.74910214,74700
680,782.0,565.316716754,75800
690,792.0,573.209019693,76900
700,786.0,581.786513688,78000
710,792.0,590.10072507,79100
720,788.0,598.407304357,80200
730,788.0,606.312740945,81300
740,788.0,614.019230454,82400
750,786.0,622.104992499,83500
760,788.0,629.9725272,84600
770,784.0,637.904091217,85700
780,786.0,645.849523941,86800
790,784.0,653.51553202,87900
800,782.0,661.764661257,89000
810,788.0,670.294809341,90100
820,788.0,678.799587172,91200
830,782.0,686.834695916,92300
840,788.0,694.827087324,93400
850,786.0,702.689854176,94500
860,788.0,710.586610643,95600
870,786.0,718.287816828,96700
880,784.0,726.225012208,97800
890,788.0,734.136525747,98900
900,790.0,742.194485766,100000
910,786.0,750.103594819,101100
920,788.0,757.906578317,102200
930,792.0,765.889963849,103300
940,786.0,774.149358508,104400
950,790.0,782.795510038,105500
960,788.0,790.87716696,106600
970,796.0,799.989119303,107700
980,796.0,808.649537896,108800
990,792.0,816.713299214,109900
1000,792.0,826.362604061,111000
1010,792.0,834.929988685,112100
1020,792.0,846.444242748,113200
1030,792.0,856.509473158,114300
1040,794.0,865.628187353,115400
1050,798.0,873.951021611,116500
1060,794.0,883.050517579,117600
1070,788.0,893.782294989,118700
1080,796.0,903.326964324,119800
1090,792.0,913.089209307,120900
1100,792.0,922.822026941,122000
1110,796.0,931.949381048,123100
1120,794.0,940.368218442,124200
1130,796.0,948.756750361,125300
1140,794.0,957.204785898,126400
1150,794.0,965.384097229,127500
1160,796.0,973.583512411,128600
1170,794.0,982.117813505,129700
1180,792.0,992.749796049,130800
1190,788.0,1002.41156461,131900
1200,804.0,1011.55756532,133000
1210,798.0,1023.41479612,134100
1220,790.0,1035.07008767,135200
1230,802.0,1046.92059647,136300
1240,792.0,1055.28232986,137400
1250,796.0,1063.7091612,138500
1260,794.0,1072.25531917,139600
1270,794.0,1089.24424587,140700
1280,790.0,1099.82093042,141800
1290,802.0,1109.5007964,142900
1300,794.0,1126.29062838,144000
1310,798.0,1136.06900332,145100
1320,798.0,1145.59475489,146200
1330,802.0,1156.19967999,147300
1340,794.0,1165.27401484,148400
1350,792.0,1174.40060591,149500
1360,792.0,1186.31603318,150600
1370,792.0,1199.49464332,151700
