iterations,fitness,time,fevals
0,526.0,0.001482445,282
10,543.0,0.002922737,466
20,543.0,0.004078077,651
30,544.0,0.005163511,837
40,545.0,0.006188933,1015
50,545.0,0.007198501,1195
60,545.0,0.008181458,1381
70,547.0,0.009400999,1568
80,547.0,0.010760972,1754
90,553.0,0.011798266,1941
100,547.0,0.012773714,2129
110,545.0,0.014061722,2317
120,547.0,0.015097674,2502
130,545.0,0.016225366,2690
140,549.0,0.017264699,2884
150,543.0,0.018258978,3073
160,543.0,0.019259924,3259
170,543.0,0.021394561,3446
180,545.0,0.022378591,3635
190,549.0,0.023343428,3822
200,547.0,0.024295459,4006
210,549.0,0.025312153,4194
220,555.0,0.026351651,4382
230,555.0,0.027310891,4570
240,553.0,0.029047838,4760
250,555.0,0.031272103,4950
260,555.0,0.032262638,5138
270,553.0,0.033216843,5330
280,555.0,0.034645977,5518
290,557.0,0.036954393,5703
300,557.0,0.03791891,5886
310,551.0,0.038878299,6079
320,551.0,0.039825659,6267
330,551.0,0.040844309,6450
340,553.0,0.041812867,6628
350,553.0,0.042889771,6810
360,551.0,0.045528789,6994
370,551.0,0.046532302,7184
380,553.0,0.047500167,7375
390,551.0,0.048453596,7565
400,553.0,0.049415036,7754
410,553.0,0.050364371,7941
420,553.0,0.051397028,8127
430,553.0,0.052364501,8315
440,555.0,0.05331401,8498
450,555.0,0.054320114,8684
460,557.0,0.055277596,8865
470,555.0,0.056300516,9050
480,555.0,0.057392888,9235
490,555.0,0.058359007,9422
500,555.0,0.06012564,9610
510,555.0,0.061114783,9797
520,557.0,0.062097296,9983
530,557.0,0.063060361,10173
540,559.0,0.064065703,10356
550,561.0,0.066514346,10540
560,559.0,0.067551968,10726
570,559.0,0.068567809,10908
580,559.0,0.069577942,11095
590,557.0,0.070640066,11281
600,559.0,0.071606514,11468
610,557.0,0.072622619,11655
620,557.0,0.073602209,11843
630,557.0,0.074564824,12032
640,557.0,0.076422109,12216
650,557.0,0.079451075,12405
660,559.0,0.080417037,12589
670,559.0,0.081447912,12780
680,559.0,0.082417538,12965
690,561.0,0.083385668,13148
700,559.0,0.084327796,13335
710,561.0,0.08529552,13519
720,561.0,0.086242106,13700
730,559.0,0.087225053,13884
740,561.0,0.088505789,14069
750,563.0,0.089458632,14250
760,561.0,0.090446236,14432
770,559.0,0.091576901,14617
780,561.0,0.095561774,14804
790,561.0,0.096556248,14994
800,563.0,0.097553112,15180
810,561.0,0.098522048,15368
820,561.0,0.09947541,15552
830,565.0,0.100484667,15739
840,563.0,0.101471815,15918
850,561.0,0.102433682,16110
860,561.0,0.103389229,16297
870,555.0,0.104354868,16488
880,553.0,0.105404726,16675
890,553.0,0.10656142,16859
900,553.0,0.107582996,17046
910,553.0,0.108955448,17232
920,553.0,0.110838931,17413
930,555.0,0.111855504,17603
940,557.0,0.112809383,17791
950,557.0,0.113878108,17979
960,555.0,0.114879275,18166
970,553.0,0.115876167,18351
980,553.0,0.116923203,18541
990,551.0,0.117933736,18726
1000,549.0,0.11888616,18916
1010,549.0,0.119839537,19102
1020,553.0,0.120860304,19289
1030,553.0,0.121968384,19481
1040,551.0,0.122954025,19666
1050,551.0,0.124714787,19853
1060,551.0,0.125653057,20039
1070,551.0,0.126698475,20226
1080,551.0,0.127773326,20410
1090,549.0,0.129016259,20594
1100,551.0,0.129966783,20781
1110,551.0,0.130934203,20972
1120,551.0,0.131866648,21160
1130,551.0,0.132814216,21341
1140,551.0,0.133754442,21524
1150,551.0,0.134741274,21710
