iterations,fitness,time,fevals
0,531.0,0.003732831,576
10,532.0,0.005873435,1054
20,536.0,0.007712238,1540
30,531.0,0.009533137,2010
40,523.0,0.011210032,2491
50,532.0,0.012886281,2983
60,522.0,0.014504259,3454
70,524.0,0.016080512,3943
80,520.0,0.01780884,4424
90,531.0,0.019438804,4919
100,533.0,0.022477684,5392
110,534.0,0.023990551,5890
120,529.0,0.025517472,6373
130,527.0,0.026938204,6863
140,530.0,0.028358553,7340
150,532.0,0.029756339,7803
160,531.0,0.031244461,8289
170,535.0,0.032700986,8784
180,533.0,0.034619767,9263
190,534.0,0.036001934,9755
200,531.0,0.038652668,10238
210,539.0,0.040056795,10720
220,535.0,0.04143249,11196
230,535.0,0.042826358,11680
240,537.0,0.044248082,12162
250,539.0,0.045634547,12648
260,531.0,0.047027733,13127
270,531.0,0.048435143,13619
280,533.0,0.05000927,14094
290,531.0,0.051370939,14575
300,533.0,0.054489939,15065
310,531.0,0.057818634,15554
320,531.0,0.059244375,16036
330,533.0,0.060597613,16518
340,535.0,0.062075014,17009
350,531.0,0.063836427,17509
360,531.0,0.065314888,17987
370,533.0,0.066794869,18462
380,535.0,0.06898645,18946
390,535.0,0.070385673,19432
400,533.0,0.071787848,19909
410,537.0,0.073341717,20384
420,539.0,0.075445703,20866
430,539.0,0.076905518,21348
440,539.0,0.078321666,21823
450,533.0,0.079713811,22297
460,533.0,0.081289173,22785
470,535.0,0.082828104,23263
480,529.0,0.085312333,23743
490,529.0,0.088436247,24230
500,533.0,0.089881034,24719
510,533.0,0.091303952,25197
520,531.0,0.092763665,25685
530,531.0,0.094183267,26166
540,533.0,0.095576894,26637
550,531.0,0.096952587,27116
560,531.0,0.098459273,27597
570,533.0,0.100197712,28075
580,531.0,0.10174464,28563
590,531.0,0.105001573,29041
600,531.0,0.106390315,29527
610,533.0,0.107748661,30008
620,535.0,0.1091168,30497
630,535.0,0.110591001,30977
640,539.0,0.11201408,31470
650,541.0,0.1135684,31971
660,545.0,0.114986749,32463
670,549.0,0.116542468,32953
680,551.0,0.118415899,33435
690,547.0,0.120631071,33930
700,549.0,0.12203706,34409
710,541.0,0.123415853,34884
720,543.0,0.124822848,35370
730,543.0,0.126268597,35853
740,545.0,0.12772717,36332
750,547.0,0.129175603,36808
760,545.0,0.130627799,37294
770,551.0,0.132002921,37764
780,551.0,0.133540159,38264
790,549.0,0.135098369,38742
800,544.0,0.138875624,39227
810,545.0,0.140243067,39705
820,544.0,0.1416689,40166
830,539.0,0.143071815,40641
840,540.0,0.144433208,41135
850,542.0,0.145842927,41623
860,542.0,0.147280228,42108
870,545.0,0.148680497,42597
880,543.0,0.1504472,43089
890,547.0,0.151882748,43573
900,549.0,0.15423822,44057
910,549.0,0.155710068,44540
920,549.0,0.1571373,45021
930,548.0,0.158513902,45497
940,549.0,0.159877623,45974
950,548.0,0.161282429,46453
960,546.0,0.162680782,46937
970,545.0,0.164099713,47426
980,546.0,0.165972164,47921
990,545.0,0.167343776,48406
1000,544.0,0.169579202,48878
1010,545.0,0.17107618,49353
1020,541.0,0.172482437,49837
1030,545.0,0.173891214,50318
1040,539.0,0.175730158,50804
1050,541.0,0.177759322,51294
1060,541.0,0.179235408,51780
1070,545.0,0.180867474,52259
1080,543.0,0.182757893,52749
1090,543.0,0.184231011,53225
1100,547.0,0.185702026,53717
1110,547.0,0.18713367,54207
1120,549.0,0.188611624,54703
1130,549.0,0.191091251,55182
1140,549.0,0.192536651,55663
1150,547.0,0.194087041,56158
1160,547.0,0.195538922,56652
1170,551.0,0.196990191,57130
1180,549.0,0.198520917,57626
1190,551.0,0.200068304,58113
1200,553.0,0.201508201,58608
1210,553.0,0.203877651,59096
1220,549.0,0.205245386,59585
1230,549.0,0.206593638,60067
1240,551.0,0.20802094,60543
1250,553.0,0.209396299,61034
1260,551.0,0.210896642,61516
1270,551.0,0.212300052,61998
1280,553.0,0.213964802,62471
1290,551.0,0.217879232,62949
1300,551.0,0.220353318,63434
1310,553.0,0.221751033,63915
1320,547.0,0.223129862,64387
1330,549.0,0.224525862,64873
1340,551.0,0.225955145,65348
1350,545.0,0.227356846,65826
