iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.092828314951,0.0934708856191,0.0922341844561,0.834518055161,0.820920977828,0.832196452933,0.909795412275,0.90165469872,0.908413998511,0.27087756
10,0.0618497809824,0.0621505048553,0.0613965433215,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,4.556153937
20,0.0699179410968,0.0700406657211,0.069460237868,0.895507534831,0.895963615691,0.895861755343,0.944873621841,0.945127436282,0.945070760374,7.885623803
30,0.0605043528161,0.0606434780753,0.06046003229,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,11.323064368
40,0.0637103000265,0.0635476834539,0.0627923640073,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,13.930380858
50,0.0530835135977,0.0526627929884,0.0525121935804,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,16.810082557
60,0.0510236311071,0.0507506072678,0.0503547367254,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,19.663813576
70,0.0495974597391,0.0488381010149,0.0486235178014,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,22.393941663
80,0.0529799718085,0.0529095488686,0.0526918750809,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,25.294127497
90,0.0483554302701,0.0480496924738,0.0476100492824,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,28.047415823
100,0.0538311962293,0.0537863785487,0.052870231096,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,30.832189218
110,0.0469621469607,0.0463805221737,0.0463789222595,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,33.781596877
120,0.0448688560102,0.0445245881658,0.0438923669687,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,36.835370096
130,0.0428903147634,0.0420907066251,0.0419429369727,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,39.788738861
140,0.0400404932105,0.0391228032468,0.0392464851059,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,42.428443542
150,0.0384057001192,0.037570184328,0.0376196378054,0.898635200455,0.897669130188,0.899045020464,0.946467452511,0.945978391357,0.946660259491,45.543454485
160,0.0379903097838,0.037137913958,0.0371951136819,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,48.297028606
170,0.0346986580564,0.0336925699537,0.0338328413676,0.896076201308,0.895963615691,0.895861755343,0.94519007273,0.945127436282,0.945070760374,50.786610552
