iterations,fitness,time,fevals
0,0.0190083269389,9.61199839367e-06,11
10,0.0194413592914,2.26249976549e-05,21
20,0.0193077865151,3.25639975927e-05,31
30,0.0204533590053,5.63279972994e-05,41
40,0.0211818860901,6.70039971737e-05,51
50,0.0214526641306,7.86459968367e-05,61
60,0.0214922318506,8.91169966053e-05,71
70,0.021849089485,0.000116973995318,81
80,0.0223540577281,0.000130139995235,91
90,0.0238858227128,0.000148774995978,101
100,0.0240843331958,0.000175812994712,111
110,0.0250131655281,0.000197107994609,121
120,0.0266126324479,0.000209547994018,131
130,0.0273925065059,0.000218205994315,141
140,0.0275335375761,0.000227099995755,151
150,0.0282160790152,0.000235595996855,161
160,0.0282499090983,0.000245282997639,171
170,0.0282499090983,0.000255083998127,181
180,0.02857081342,0.000266097997155,191
190,0.0290423304653,0.000275801998214,201
200,0.0298335374658,0.00028418599868,211
210,0.0299516624985,0.000296294998407,221
220,0.0299516624985,0.00030652699752,231
230,0.030260018451,0.000322976997268,241
240,0.030260018451,0.000339444997735,251
250,0.0305596985432,0.00036069199632,261
260,0.0311897084415,0.000374444996851,271
270,0.0311897084415,0.000388940996345,281
280,0.0316601222375,0.000397683996198,291
290,0.0318911498084,0.000412047995269,301
300,0.0318952241708,0.000425005993748,311
310,0.0318952241708,0.000440647994765,321
320,0.0324050426342,0.000452144995506,331
330,0.0324050426342,0.000461274996269,341
340,0.0326976357353,0.000470526996651,351
350,0.0330227265265,0.000479193997307,361
360,0.0341653222902,0.000488004996441,371
370,0.0341653222902,0.000502183995195,381
380,0.0342305546026,0.000515434994668,391
390,0.0345094775892,0.000525439994817,401
400,0.0345094775892,0.000534093995157,411
410,0.0345094775892,0.000542776993825,421
420,0.0345094775892,0.000556954993954,431
430,0.034542067245,0.000566057995457,441
440,0.0345986805781,0.000574795996727,451
450,0.034624402869,0.00059335199694,461
460,0.034624402869,0.00060523099819,471
470,0.0363858827635,0.000625662996754,481
480,0.0363858827635,0.000635504995444,491
490,0.0368539624383,0.000644957995974,501
500,0.0368539624383,0.000656682996123,511
510,0.0368539624383,0.000669533996188,521
520,0.0373916728117,0.000681645997247,531
530,0.0376594314305,0.000691932998961,541
540,0.0384958276723,0.000743144999433,551
550,0.0390709207784,0.00075734299935,561
560,0.0393174909055,0.000766970997574,571
570,0.0393174909055,0.000779336998676,581
580,0.0399955475518,0.000787828999819,591
590,0.0401889212083,0.000799963998361,601
600,0.0401889212083,0.000810086998172,611
610,0.0401889212083,0.000818893997348,621
620,0.0401889212083,0.000827111996841,631
630,0.0401889212083,0.000835632998132,641
640,0.0401889212083,0.000868276998517,651
650,0.0401889212083,0.000877817998116,661
660,0.0402432439815,0.000887026997589,671
670,0.0402432439815,0.000899838996702,681
680,0.0402432439815,0.000963600996329,691
690,0.0402432439815,0.000973534997684,701
700,0.04027946596,0.000983933998214,711
710,0.04027946596,0.0010066249979,721
720,0.0417427464008,0.00102382199657,731
730,0.0417427464008,0.00103955399572,741
740,0.0427787737569,0.00107028499588,751
750,0.0427787737569,0.00111052699685,761
760,0.0432412308015,0.00113025699648,771
770,0.0432412308015,0.00115501799519,781
780,0.0432658109947,0.00116787399566,791
790,0.0435677168058,0.00117738799599,801
800,0.0435677168058,0.00118778399701,811
810,0.0435677168058,0.00119675399765,821
820,0.0442071403901,0.00120556099864,831
830,0.0442071403901,0.00121648299864,841
840,0.0442071403901,0.00122909299898,851
850,0.0442071403901,0.0012423549997,861
860,0.0442071403901,0.00125150500025,871
870,0.0442071403901,0.00126535399977,881
880,0.0442071403901,0.00127656000041,891
890,0.0442184448226,0.00128640000003,901
900,0.0442184448226,0.00153369200052,911
910,0.0442184448226,0.00154861000192,921
920,0.0453222617993,0.00157114200192,931
930,0.0453222617993,0.00160798700199,941
940,0.0459018630145,0.00163908600189,951
950,0.0459018630145,0.00166435200117,961
960,0.045909243293,0.00167519800016,971
970,0.045909243293,0.00168610900073,981
980,0.045909243293,0.00169907300005,991
990,0.045909243293,0.001710524999,1001
1000,0.045909243293,0.00172135699904,1011
1010,0.045909243293,0.00173038999856,1021
1020,0.0462261097524,0.00173920399902,1031
1030,0.0462261097524,0.00175337899964,1041
1040,0.0462261097524,0.00176464699871,1051
1050,0.0469042967915,0.00177370899837,1061
1060,0.0469042967915,0.00178735399822,1071
1070,0.0469042967915,0.00179662899791,1081
1080,0.0469042967915,0.00180666599772,1091
1090,0.0469042967915,0.00181773199802,1101
1100,0.0469042967915,0.00182750199747,1111
1110,0.0469042967915,0.00183664399628,1121
1120,0.0469042967915,0.00184801699652,1131
1130,0.0469042967915,0.00186325699724,1141
1140,0.0469042967915,0.00187396099682,1151
1150,0.0469042967915,0.00188546199752,1161
