iterations,fitness,time,fevals
0,31.0,0.001085387,736
10,31.0,0.001922943,1350
20,33.0,0.002719027,1989
30,34.0,0.003499097,2620
40,35.0,0.004265481,3238
50,34.0,0.0051647,3859
60,34.0,0.006047529,4479
70,35.0,0.012755204,5111
80,35.0,0.017937463,5737
90,35.0,0.01868275,6375
100,35.0,0.019492849,7010
110,35.0,0.020994059,7631
120,36.0,0.02236459,8277
130,34.0,0.023155905,8896
140,35.0,0.024093724,9516
150,35.0,0.024939785,10152
160,36.0,0.025499177,10784
170,37.0,0.026365044,11419
180,38.0,0.02701044,12061
190,38.0,0.027883766,12685
200,38.0,0.028614066,13313
210,36.0,0.029521589,13948
220,39.0,0.030282276,14579
230,39.0,0.031395246,15195
240,39.0,0.032155046,15837
250,38.0,0.03342043,16461
260,40.0,0.034205253,17090
270,44.0,0.03598508,17718
280,40.0,0.036722864,18357
290,42.0,0.037540033,18975
300,42.0,0.038219514,19609
310,44.0,0.03891205,20239
320,43.0,0.03961332,20863
330,43.0,0.040306443,21478
340,43.0,0.041019497,22116
350,43.0,0.042361465,22756
360,46.0,0.043544713,23379
370,50.0,0.045189126,24004
380,50.0,0.046230368,24610
390,52.0,0.046964068,25238
400,48.0,0.047736506,25866
410,49.0,0.048443633,26486
420,49.0,0.049383674,27128
430,54.0,0.050085485,27759
440,53.0,0.050860247,28400
450,54.0,0.051571707,29033
460,53.0,0.052078444,29664
470,53.0,0.052802767,30278
480,53.0,0.053531814,30903
490,53.0,0.054284562,31536
500,53.0,0.057316072,32172
510,53.0,0.058209281,32807
520,53.0,0.059276765,33427
530,57.0,0.059772055,34045
540,53.0,0.060397102,34661
550,54.0,0.061159237,35287
560,53.0,0.06186051,35918
570,52.0,0.062477324,36544
580,54.0,0.063676167,37168
590,54.0,0.065639489,37796
600,57.0,0.066171817,38428
610,57.0,0.066985935,39046
620,57.0,0.067711521,39674
630,56.0,0.068504935,40305
640,56.0,0.069077254,40937
650,56.0,0.069807809,41551
660,57.0,0.07079614,42199
670,58.0,0.071930266,42843
680,57.0,0.072636704,43490
690,57.0,0.07314265,44122
700,57.0,0.073849892,44753
710,57.0,0.074803986,45388
720,56.0,0.075332311,46017
730,57.0,0.075819931,46639
740,57.0,0.076669383,47272
750,57.0,0.07748191,47896
760,57.0,0.078449671,48529
770,56.0,0.079512589,49141
780,56.0,0.080257946,49776
790,56.0,0.080916915,50402
800,56.0,0.081615791,51043
810,58.0,0.082385428,51665
820,58.0,0.083128508,52300
830,58.0,0.083806553,52931
840,58.0,0.084331421,53571
850,58.0,0.085083985,54202
860,57.0,0.086147159,54839
870,58.0,0.087954769,55475
880,57.0,0.088726783,56104
890,58.0,0.089450005,56739
900,58.0,0.090369255,57375
910,58.0,0.091337601,57996
920,59.0,0.122651719,58618
930,58.0,0.123429341,59247
940,58.0,0.124762448,59871
950,59.0,0.125774884,60508
960,60.0,0.126528147,61133
970,59.0,0.144236276,61766
980,57.0,0.156468414,62400
990,59.0,0.157583917,63025
1000,58.0,0.158280744,63650
1010,60.0,0.159616559,64285
1020,59.0,0.161406927,64920
1030,61.0,0.162172908,65551
1040,60.0,0.162992251,66184
1050,61.0,0.163950295,66802
1060,60.0,0.164650182,67438
1070,59.0,0.165353501,68079
1080,60.0,0.16604685,68708
1090,60.0,0.166806883,69345
1100,61.0,0.167593121,69983
1110,61.0,0.168436714,70607
1120,61.0,0.16964972,71238
1130,61.0,0.170493941,71866
1140,61.0,0.17118349,72498
1150,62.0,0.17184158,73133
1160,62.0,0.172509187,73774
1170,62.0,0.173169771,74406
1180,65.0,0.173861067,75043
