iterations,fitness,time,fevals
0,19.0,0.000657862999997,555
10,25.0,0.001220671,1012
20,28.0,0.00173026,1476
30,28.0,0.002211065,1934
40,31.0,0.002658008,2393
50,30.0,0.00314985,2852
60,30.0,0.003856057,3297
70,32.0,0.004341952,3763
80,31.0,0.004812669,4224
90,32.0,0.005390165,4670
100,32.0,0.005761808,5132
110,31.0,0.006253791,5588
120,32.0,0.006722968,6045
130,33.0,0.007188929,6517
140,32.0,0.00793,6984
150,32.0,0.008720689,7458
160,33.0,0.009160291,7907
170,33.0,0.009598617,8360
180,33.0,0.010078591,8819
190,34.0,0.010476104,9280
200,35.0,0.011063347,9726
210,35.0,0.011535875,10172
220,35.0,0.011938758,10627
230,35.0,0.012444358,11080
240,35.0,0.013023026,11527
250,35.0,0.013395031,11993
260,35.0,0.01374865,12448
270,35.0,0.014150234,12905
280,35.0,0.014667003,13357
290,35.0,0.015103223,13824
300,38.0,0.015575172,14273
310,35.0,0.016042347,14726
320,35.0,0.016547406,15181
330,36.0,0.017003516,15625
340,37.0,0.017498121,16072
350,36.0,0.017962939,16530
360,37.0,0.018412828,16986
370,36.0,0.019116613,17447
380,37.0,0.019657362,17915
390,37.0,0.020181315,18385
400,36.0,0.020927464,18833
410,37.0,0.021437057,19294
420,39.0,0.022162428,19756
430,37.0,0.022703626,20211
440,36.0,0.023262817,20671
450,37.0,0.023759562,21129
460,36.0,0.024521444,21586
470,37.0,0.025027642,22046
480,39.0,0.026664712,22500
490,39.0,0.027161954,22965
500,39.0,0.027642259,23429
510,37.0,0.028129897,23885
520,37.0,0.028803851,24331
530,38.0,0.029305539,24784
540,38.0,0.029799578,25234
550,40.0,0.030316003,25687
560,40.0,0.030881655,26134
570,41.0,0.031377939,26586
580,40.0,0.031858016,27034
590,41.0,0.032344118,27499
600,39.0,0.032831876,27953
610,41.0,0.033319452,28408
620,41.0,0.03388554,28858
630,41.0,0.034364255,29303
640,41.0,0.034850954,29766
650,41.0,0.035324751,30208
660,40.0,0.035916315,30676
670,41.0,0.036483285,31123
680,40.0,0.038622123,31588
690,40.0,0.039100866,32039
700,40.0,0.039563339,32500
710,41.0,0.040021552,32957
720,40.0,0.040503188,33405
730,40.0,0.040975164,33851
740,41.0,0.041468796,34303
750,41.0,0.042063753,34754
760,40.0,0.042564,35219
770,40.0,0.043062187,35659
780,39.0,0.043736677,36118
790,40.0,0.044462713,36582
800,41.0,0.045182831,37036
810,42.0,0.046196702,37502
820,40.0,0.046660965,37950
830,39.0,0.047225464,38410
840,39.0,0.047688003,38852
850,40.0,0.048142559,39307
860,41.0,0.048609332,39762
870,41.0,0.049333869,40222
880,42.0,0.049821318,40676
890,42.0,0.050301677,41138
900,43.0,0.051054683,41599
910,42.0,0.051493913,42051
920,41.0,0.052620477,42498
930,42.0,0.054136532,42968
940,43.0,0.054595442,43414
950,42.0,0.055025262,43875
960,43.0,0.055650148,44326
970,42.0,0.058628512,44774
980,42.0,0.059082022,45225
990,42.0,0.059502946,45669
1000,42.0,0.059930586,46116
1010,42.0,0.060509012,46568
1020,42.0,0.060960213,47012
1030,43.0,0.078678257,47462
1040,43.0,0.079126398,47916
1050,43.0,0.079593369,48380
1060,44.0,0.080048983,48842
1070,41.0,0.080519996,49314
1080,44.0,0.081775151,49765
1090,44.0,0.082250947,50216
1100,43.0,0.082716998,50682
1110,42.0,0.083178509,51146
1120,44.0,0.083635118,51580
1130,44.0,0.084107372,52031
1140,45.0,0.084575038,52481
1150,46.0,0.085670357,52932
1160,45.0,0.086145213,53383
1170,45.0,0.086622642,53843
1180,46.0,0.087082143,54287
1190,45.0,0.087533803,54739
1200,45.0,0.088310694,55193
1210,45.0,0.089021071,55653
1220,44.0,0.089883191,56108
1230,44.0,0.09035419,56561
1240,44.0,0.090838171,57011
1250,46.0,0.091323691,57477
1260,44.0,0.091789732,57916
1270,44.0,0.092265041,58377
1280,44.0,0.092704442,58822
1290,44.0,0.093285069,59280
1300,45.0,0.093742399,59739
1310,45.0,0.094183124,60190
1320,45.0,0.094627037,60645
1330,44.0,0.095059447,61095
1340,45.0,0.095487401,61566
1350,44.0,0.095918483,62013
1360,44.0,0.096515781,62467
1370,45.0,0.098170738,62912
1380,45.0,0.098630572,63370
1390,46.0,0.099316631,63813
1400,46.0,0.100271335,64266
1410,45.0,0.100746437,64726
1420,46.0,0.101388569,65180
1430,46.0,0.101856799,65639
1440,47.0,0.102331071,66104
1450,48.0,0.102830502,66567
1460,46.0,0.103279902,66996
1470,46.0,0.104535556,67447
1480,46.0,0.104991885,67900
1490,44.0,0.10543689,68360
1500,46.0,0.105869038,68808
1510,45.0,0.106285475,69271
1520,45.0,0.106790412,69720
1530,45.0,0.107201864,70177
1540,45.0,0.107714321,70641
1550,45.0,0.108611375,71088
1560,45.0,0.109568211,71529
1570,45.0,0.109993719,71982
1580,45.0,0.110764596,72445
1590,46.0,0.111413603,72900
1600,47.0,0.112283462,73363
1610,46.0,0.112735512,73811
1620,45.0,0.113254304,74257
1630,46.0,0.113905894,74718
1640,47.0,0.114385715,75176
1650,46.0,0.114929795,75623
1660,46.0,0.115453026,76075
1670,46.0,0.116151884,76539
1680,46.0,0.116622,77007
1690,47.0,0.117094369,77457
1700,48.0,0.117731195,77917
1710,48.0,0.118357201,78362
1720,48.0,0.118946404,78818
1730,48.0,0.119533149,79274
1740,48.0,0.120138926,79726
1750,47.0,0.120743579,80173
1760,48.0,0.123643907,80632
1770,48.0,0.124600864,81089
1780,49.0,0.125292347,81545
1790,47.0,0.125757634,82010
1800,48.0,0.126202339,82468
1810,48.0,0.12664999,82916
1820,47.0,0.127175787,83355
1830,48.0,0.127887933,83820
1840,48.0,0.128347576,84283
1850,48.0,0.128808975,84730
1860,46.0,0.129265573,85179
1870,48.0,0.12972641,85629
1880,48.0,0.130186557,86078
1890,48.0,0.130595729,86526
1900,54.0,0.131009847,86988
1910,51.0,0.131616676,87438
