iterations,fitness,time,fevals
0,19.0,0.000670522999997,645
10,24.0,0.001288,1199
20,24.0,0.00183473999999,1748
30,22.0,0.00229129899999,2291
40,23.0,0.00287483499999,2836
50,23.0,0.00335321799999,3383
60,23.0,0.00379723099999,3935
70,23.0,0.00423874999999,4481
80,24.0,0.00468476199999,5029
90,24.0,0.00512617199999,5583
100,24.0,0.005568201,6133
110,24.0,0.006049935,6690
120,25.0,0.00646362,7233
130,25.0,0.006973722,7786
140,25.0,0.00738197499999,8337
150,25.0,0.00779484,8887
160,25.0,0.008211826,9427
170,25.0,0.00861339799999,9973
180,25.0,0.00902166499999,10521
190,26.0,0.00943728299999,11081
200,26.0,0.00985637899998,11629
210,28.0,0.01028189,12169
220,26.0,0.010692511,12713
230,26.0,0.011095653,13266
240,26.0,0.011548631,13816
250,25.0,0.011982574,14361
260,26.0,0.012430483,14910
270,25.0,0.012879751,15460
280,26.0,0.013285947,16016
290,26.0,0.013725489,16566
300,26.0,0.014141886,17122
310,26.0,0.014568195,17667
320,28.0,0.015003224,18217
330,27.0,0.015467779,18764
340,27.0,0.015963735,19314
350,27.0,0.016371481,19867
360,28.0,0.016792004,20411
370,28.0,0.017209584,20963
380,28.0,0.01769511,21516
390,28.0,0.018108729,22068
400,28.0,0.018501828,22620
410,30.0,0.018915294,23171
420,28.0,0.019314033,23727
430,28.0,0.019719788,24274
440,30.0,0.020204314,24822
450,29.0,0.020635695,25374
460,29.0,0.021012295,25914
470,28.0,0.021420378,26464
480,29.0,0.021786487,27014
490,29.0,0.022148337,27573
500,29.0,0.022502812,28125
510,30.0,0.022864205,28683
520,30.0,0.023368033,29226
530,31.0,0.023776481,29773
540,31.0,0.024144341,30325
550,37.0,0.024584818,30874
560,31.0,0.025094064,31424
570,32.0,0.025628063,31971
580,39.0,0.025985021,32512
590,40.0,0.026414424,33066
600,39.0,0.027125566,33607
610,40.0,0.027923092,34152
620,41.0,0.02912934,34703
630,40.0,0.02999493,35248
640,41.0,0.030538324,35795
650,41.0,0.030907721,36348
660,41.0,0.031308689,36895
670,41.0,0.032189419,37440
680,41.0,0.032793185,37993
