iterations,fitness,time,fevals
0,24.0,0.000572253999998,561
10,25.0,0.001079313,1034
20,24.0,0.00153007,1501
30,25.0,0.001941928,1952
40,25.0,0.00236449,2397
50,25.0,0.00279753099999,2851
60,27.0,0.00331615699999,3310
70,26.0,0.00378509199999,3752
80,27.0,0.004223307,4211
90,29.0,0.004641619,4672
100,29.0,0.005116043,5131
110,31.0,0.005587083,5588
120,31.0,0.006045026,6039
130,32.0,0.006563229,6503
140,32.0,0.006927734,6949
150,31.0,0.00728615600001,7401
160,32.0,0.00772642300001,7855
170,32.0,0.00809565200001,8316
180,34.0,0.00850924100001,8773
190,33.0,0.008912661,9232
200,32.0,0.00932832700001,9687
210,32.0,0.024276444,10142
220,32.0,0.024727137,10588
230,32.0,0.025523997,11028
240,33.0,0.025900012,11503
250,34.0,0.026337043,11965
260,34.0,0.02673743,12429
270,36.0,0.027140321,12884
280,36.0,0.027528715,13348
290,36.0,0.027925659,13789
300,39.0,0.028317671,14253
310,40.0,0.028735056,14711
320,43.0,0.029118667,15173
330,44.0,0.029510352,15616
340,43.0,0.029955024,16066
350,45.0,0.03034308,16516
360,45.0,0.03072495,16967
370,46.0,0.031136371,17424
380,44.0,0.031517389,17880
390,48.0,0.031928266,18321
400,52.0,0.032293845,18775
410,50.0,0.032635148,19231
420,52.0,0.033120381,19689
430,53.0,0.03347522,20138
440,53.0,0.033862327,20585
450,52.0,0.034245315,21046
460,53.0,0.034665579,21506
470,54.0,0.035035417,21967
480,55.0,0.035382627,22430
490,54.0,0.035765569,22882
500,53.0,0.036147034,23331
510,52.0,0.036509496,23786
520,53.0,0.036894741,24249
530,54.0,0.037242845,24696
540,55.0,0.037623479,25146
550,54.0,0.038011099,25601
560,54.0,0.038499327,26050
570,55.0,0.039139119,26513
580,55.0,0.039519278,26962
590,57.0,0.039907704,27406
600,58.0,0.040277156,27858
610,60.0,0.040641229,28311
620,63.0,0.041028814,28770
630,64.0,0.041386633,29224
640,61.0,0.041738006,29677
650,61.0,0.042119636,30136
660,62.0,0.042457065,30581
670,62.0,0.042855875,31034
680,64.0,0.043241938,31503
690,62.0,0.043633103,31949
700,63.0,0.044111047,32396
710,63.0,0.044470734,32854
720,63.0,0.04484725,33307
730,63.0,0.0455034780001,33770
740,63.0,0.0463155750001,34226
750,63.0,0.04672212,34688
760,62.0,0.0471562310001,35138
770,62.0,0.047503856,35583
780,62.0,0.047879675,36034
790,61.0,0.048254431,36494
800,62.0,0.048612772,36951
810,62.0,0.048980467,37411
820,62.0,0.049349981,37878
830,63.0,0.049732299,38318
840,61.0,0.050104755,38766
850,62.0,0.050473688,39214
860,60.0,0.050872733,39683
870,63.0,0.051302488,40138
880,61.0,0.051627444,40588
890,62.0,0.051950772,41053
900,62.0,0.0523041,41502
910,62.0,0.052663918,41956
920,64.0,0.05301532,42426
930,65.0,0.053375091,42867
940,64.0,0.053717901,43315
950,67.0,0.054070607,43760
960,66.0,0.05440587,44214
970,66.0,0.054848023,44674
980,68.0,0.055194477,45130
990,68.0,0.055540637,45594
1000,69.0,0.055892854,46037
1010,71.0,0.056219443,46483
