iterations,fitness,time,fevals
0,23.0,0.001169935,587
10,24.0,0.001691968,1066
20,26.0,0.00212958,1559
30,26.0,0.00272647,2047
40,26.0,0.003529392,2534
50,26.0,0.004438613,3021
60,27.0,0.004998043,3514
70,27.0,0.005571491,4001
80,28.0,0.005930273,4502
90,28.0,0.006566853,4992
100,27.0,0.007175162,5463
110,29.0,0.00770581800001,5955
120,30.0,0.00847057400001,6426
130,29.0,0.00900620300001,6911
140,29.0,0.009500279,7386
150,30.0,0.00986630700001,7866
160,30.0,0.01029033,8354
170,29.0,0.010676469,8834
180,30.0,0.01173311,9319
190,30.0,0.01241221,9805
200,30.0,0.01287004,10288
210,30.0,0.013326786,10781
220,31.0,0.013689026,11251
230,32.0,0.014112538,11734
240,31.0,0.014556741,12228
250,32.0,0.015026596,12706
260,31.0,0.015431057,13201
270,32.0,0.01585963,13682
280,32.0,0.016250104,14174
290,32.0,0.01667099,14667
300,33.0,0.01709805,15157
310,32.0,0.017516985,15641
320,32.0,0.017960141,16116
330,34.0,0.018531099,16600
340,36.0,0.019446696,17085
350,36.0,0.019902748,17559
360,37.0,0.020297697,18048
370,38.0,0.020936943,18530
380,38.0,0.021817527,19025
390,39.0,0.022249922,19523
400,39.0,0.022767773,20009
410,39.0,0.023336166,20486
420,39.0,0.023734285,20974
430,38.0,0.024131336,21457
440,38.0,0.024549192,21930
450,38.0,0.025000111,22412
460,39.0,0.025388596,22887
470,39.0,0.025837939,23378
480,39.0,0.026226289,23861
490,39.0,0.026742215,24321
500,39.0,0.027622355,24809
510,40.0,0.028116531,25292
520,42.0,0.028688153,25791
530,42.0,0.029116711,26287
540,42.0,0.029526162,26766
550,41.0,0.029980882,27243
560,41.0,0.030852299,27730
570,42.0,0.031296231,28223
580,42.0,0.031736992,28694
590,41.0,0.03214314,29172
600,40.0,0.032558166,29658
610,42.0,0.03300565,30146
620,42.0,0.033565504,30641
630,46.0,0.034148211,31118
640,40.0,0.034630844,31601
650,40.0,0.03515711,32083
660,43.0,0.03554994,32580
670,42.0,0.03597279,33075
680,43.0,0.036367077,33556
690,42.0,0.036781479,34040
700,42.0,0.037196436,34525
710,43.0,0.038281149,35009
720,43.0,0.038712315,35480
730,44.0,0.039154472,35954
740,43.0,0.039563933,36438
750,43.0,0.040196847,36914
760,44.0,0.040581654,37405
770,44.0,0.041157801,37890
780,45.0,0.041693683,38370
790,50.0,0.042302419,38850
800,54.0,0.042704665,39329
810,56.0,0.043105604,39822
820,57.0,0.04352758,40308
830,55.0,0.043915426,40788
840,55.0,0.044294408,41279
850,55.0,0.045002665,41760
860,55.0,0.045413967,42234
870,56.0,0.045823054,42715
880,59.0,0.046233156,43202
890,57.0,0.046602033,43695
900,57.0,0.047303689,44167
910,58.0,0.047839108,44654
920,59.0,0.048300458,45138
930,58.0,0.048752489,45620
940,58.0,0.049693494,46091
950,59.0,0.050444385,46562
960,59.0,0.050888181,47051
970,66.0,0.051296465,47535
980,61.0,0.051807948,48011
990,62.0,0.052538263,48494
1000,61.0,0.053085664,48969
1010,63.0,0.053578921,49451
1020,65.0,0.054068351,49938
1030,65.0,0.054468475,50409
1040,65.0,0.054878799,50885
1050,71.0,0.055265167,51380
1060,65.0,0.055683005,51877
1070,69.0,0.056208582,52359
1080,65.0,0.05702053,52843
1090,65.0,0.057446838,53320
1100,65.0,0.057959366,53799
1110,65.0,0.058362894,54291
1120,65.0,0.058759745,54773
1130,64.0,0.059186603,55266
1140,65.0,0.060244904,55758
1150,67.0,0.06066641,56243
1160,68.0,0.061192528,56723
1170,69.0,0.061624656,57205
1180,68.0,0.06204095,57685
1190,65.0,0.062422308,58167
1200,65.0,0.062869475,58662
1210,71.0,0.063281801,59138
1220,65.0,0.063749109,59621
1230,65.0,0.064150418,60101
1240,65.0,0.064641405,60577
1250,68.0,0.065134395,61061
1260,66.0,0.0656698,61543
1270,65.0,0.066134531,62024
1280,65.0,0.06660658,62497
1290,63.0,0.067014044,62959
1300,63.0,0.067482206,63430
1310,63.0,0.067891819,63903
1320,61.0,0.068436209,64392
1330,62.0,0.069029564,64871
1340,65.0,0.069506768,65346
1350,64.0,0.069916667,65823
1360,67.0,0.0703072,66310
1370,66.0,0.07095797,66788
1380,65.0,0.071430766,67268
1390,69.0,0.071912248,67748
1400,65.0,0.072330099,68241
1410,67.0,0.072853147,68716
1420,65.0,0.073353589,69182
1430,68.0,0.073816725,69657
1440,67.0,0.074212357,70144
1450,67.0,0.074619378,70622
1460,69.0,0.074997636,71101
1470,70.0,0.075377308,71592
1480,70.0,0.075760863,72077
1490,69.0,0.076282881,72563
1500,70.0,0.076690298,73041
1510,70.0,0.077090489,73516
1520,70.0,0.07750167,74000
1530,72.0,0.077870558,74479
1540,72.0,0.078228534,74951
1550,72.0,0.078787863,75444
1560,69.0,0.079317516,75932
1570,69.0,0.079854439,76411
1580,69.0,0.080255747,76883
1590,72.0,0.08064431,77365
1600,69.0,0.081147548,77852
1610,74.0,0.081885804,78332
1620,75.0,0.082288358,78815
1630,74.0,0.0826953,79280
1640,74.0,0.083090782,79764
1650,74.0,0.08345883,80241
1660,74.0,0.08384632,80718
1670,74.0,0.084237454,81206
1680,74.0,0.08476019,81681
1690,74.0,0.085142196,82155
1700,73.0,0.085635828,82646
1710,74.0,0.086023729,83134
1720,74.0,0.08642695,83624
1730,73.0,0.086815614,84119
1740,73.0,0.08721011,84602
1750,74.0,0.087596896,85079
1760,73.0,0.087941555,85560
1770,73.0,0.091625242,86044
1780,72.0,0.092013345,86523
1790,72.0,0.09284188,86980
1800,71.0,0.093285084,87464
1810,73.0,0.09367664,87943
1820,72.0,0.094078069,88425
1830,72.0,0.094632426,88901
1840,72.0,0.095135869,89371
1850,72.0,0.095572376,89851
1860,72.0,0.095962974,90343
1870,73.0,0.09636861,90830
1880,75.0,0.096777002,91324
1890,74.0,0.097193207,91805
1900,73.0,0.097736683,92279
1910,74.0,0.098211907,92749
1920,73.0,0.098849452,93230
1930,72.0,0.099220319,93718
1940,72.0,0.099658786,94201
1950,73.0,0.100053665,94684
1960,69.0,0.100446668,95166
1970,72.0,0.100840577,95648
1980,72.0,0.10124341,96142
1990,71.0,0.101846888,96616
2000,72.0,0.102381129,97086
2010,73.0,0.102751203,97571
2020,75.0,0.103131125,98065
2030,71.0,0.103565518,98547
2040,71.0,0.103970379,99019
2050,70.0,0.104463944,99505
2060,69.0,0.10493919,99983
2070,71.0,0.105963675,100464
2080,70.0,0.106362431,100948
2090,72.0,0.106758571,101431
